Date,Store,Weekly_Sales,Holiday_Flag,KMeans_Anomaly,Hierarchical_Anomaly,IsolationForest_Anomaly,Consensus_Anomaly,Anomaly_Type,Sales_Deviation
2010-12-24,2,3436007.68,0,1,0,1,1,Normal,1.3711886460943645
2010-11-26,3,565567.84,1,1,0,1,1,Sudden Spike,1.4555753097591828
2010-12-24,4,3526713.39,0,1,0,1,1,Normal,1.360131866531071
2010-12-31,4,1794868.74,1,1,0,1,1,Normal,-1.0851772833111242
2011-12-09,4,2508955.24,0,1,0,1,1,Normal,0.06486442717500174
2011-12-16,4,2771397.17,0,1,0,1,1,Normal,0.4375389957264806
2011-12-23,4,3676388.98,0,1,0,1,1,Normal,1.3897366076652877
2011-12-30,4,2007105.86,1,1,0,1,1,Normal,-1.0489630465107067
2012-02-10,4,2374660.64,1,1,0,1,1,Normal,1.284483538906703
2012-04-06,4,2470206.13,0,1,0,1,1,Normal,1.4170861767135206
2010-11-26,5,488362.61,1,1,0,1,1,Sudden Spike,1.4863028201530313
2011-11-25,5,507900.07,1,1,0,1,1,Sudden Spike,1.4632487166389423
2010-11-26,7,835189.26,1,1,0,1,1,Sudden Spike,1.4961834516900951
2010-12-03,7,552811.62,0,1,0,1,1,Normal,-0.2558424757523754
2010-12-24,7,1045124.88,0,0,1,1,1,Normal,1.4261978820842667
2010-12-31,7,729572.08,1,1,0,1,1,Normal,-0.22610765670230884
2011-11-25,7,949075.87,1,1,0,1,1,Sudden Spike,1.497983351449611
2011-12-02,7,591907.88,0,1,0,1,1,Normal,-0.346063538895587
2011-12-30,7,815915.52,1,1,0,1,1,Normal,0.01960866551749995
2012-01-13,7,593875.46,0,1,0,1,1,Normal,-1.018855762057228
2010-12-31,8,773586.49,1,1,0,1,1,Normal,-1.2032972661036536
2011-12-30,8,858572.22,1,1,0,1,1,Normal,-1.0493959987775665
2010-12-31,9,459770.85,1,1,0,1,1,Normal,-1.1639676360144788
2011-12-30,9,549788.36,1,1,0,1,1,Normal,-0.9714995237009244
2010-12-24,10,3749057.69,0,1,0,1,1,Normal,1.404591584675656
2010-12-31,10,1707298.14,1,1,0,1,1,Sudden Drop,-1.12982180741465
2011-12-23,10,3487986.89,0,1,1,1,1,Normal,1.409978321708227
2010-07-16,12,916402.76,0,1,0,1,1,Normal,-1.4191102965349407
2010-07-23,12,912403.67,0,1,0,1,1,Normal,-0.9513543361798349
2010-08-06,12,967576.95,0,1,0,1,1,Normal,1.4969843232420088
